radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.2,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,8,2,2,2,2,-0.883874153,TRUE,12452,12.0309808
0.2,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,0,2,2,2,2,-1.911582522,FALSE,9510,1801.375731
0.4,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,8,8,2,6,1,-0.34538605,TRUE,5355,161.0670577
0.4,15,4,6,1,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,0,4,4,3,1,-1.08564815,FALSE,648,1803.794468
0.2,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,8,4,1,1,1,-0.532067905,TRUE,5898,13.90102173
0.2,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,8,4,1,3,1,-1.662305352,TRUE,33257,69.08900153
0.4,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,0,8,2,6,1,-0.004597155,TRUE,15,1.317173605
0.4,9,4,6,1,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,8,4,4,3,1,-0.735429825,TRUE,14710,129.8072591
0.2,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,8,8,2,2,1,-1.92064449,FALSE,184,1802.968997
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.302890198,FALSE,12425,1800.052581
0.2,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,8,2,8,2,2,-1.053437829,TRUE,9464,65.48776587
0.4,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,0,8,2,2,1,-0.510736816,FALSE,183,1803.206044
0.2,9,4,2,1,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,8,4,4,1,1,-0.706151074,TRUE,11902,30.63357456
0.4,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,8,4,1,1,1,-2.13137097,FALSE,2646,1800.39603
0.2,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,0,2,2,2,2,-1.913039485,FALSE,9885,1800.209032
0.4,15,4,6,1,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,0,4,4,3,1,-1.087087331,FALSE,644,1802.395804
0.4,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,8,1,1,1,1,-0.826175975,TRUE,12484,8.466080705
0.4,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,8,2,2,1,2,-0.206750393,TRUE,2366,1.084232605
0.2,9,8,6,1,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,8,8,8,6,6,-1.912858499,FALSE,2945,1800.178761
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.306311941,FALSE,12921,1800.163026
0.4,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,8,2,8,2,2,-1.392090116,TRUE,14572,243.5439896
0.4,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,8,8,2,2,1,-0.006292587,TRUE,28,1.16312603
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.30417382,FALSE,12863,1800.137641
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.307196878,FALSE,12944,1800.062615
0.4,15,8,2,1,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,0,8,8,2,6,-0.774460912,FALSE,4285,1800.185207
0.4,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,8,2,2,1,2,-0.207379529,TRUE,2377,1.425226632
0.2,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,0,1,4,1,3,-4.102652003,FALSE,2650,1800.409689
0.4,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,0,1,1,1,1,-0.475629482,TRUE,6512,1.639132971
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.302161619,FALSE,13055,1800.121462
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.302485902,FALSE,12624,1800.079443
0.2,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,8,1,4,1,3,-2.686301936,TRUE,48110,130.7873684
0.2,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,8,1,4,1,3,-2.686143523,TRUE,48063,129.3120032
