radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.4,15,4,6,1,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,0,4,4,3,1,-1.081984847,FALSE,904,1801.299281
0.4,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,0,1,4,1,3,-1.63570633,TRUE,30516,64.40833052
0.2,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,0,1,4,1,3,-1.278975207,TRUE,21465,17.62638873
0.2,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,0,1,1,1,1,-1.711050808,TRUE,27271,17.00622063
0.2,15,4,2,1,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,0,4,4,1,1,-1.662659061,TRUE,33257,220.1298408
0.4,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,8,2,8,1,2,-0.438297115,TRUE,2108,91.714049
0.4,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,8,1,1,1,1,-0.909592428,TRUE,2562,1.297876192
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.307562499,FALSE,17855,1800.053519
0.4,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,8,2,2,2,2,-0.056312425,TRUE,82,13.10199375
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.304177058,FALSE,16312,1800.073098
0.4,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,0,1,1,1,1,-1.345743116,TRUE,10182,1342.980774
0.2,15,8,2,1,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,8,8,8,2,6,-1.59255017,FALSE,5161,1800.094344
0.2,15,4,6,1,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,8,4,4,3,1,-2.53697739,FALSE,1015,1800.309426
0.2,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,8,1,4,1,3,-1.67023018,TRUE,33257,71.21084077
0.4,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,8,2,2,2,2,-0.064220926,TRUE,78,12.48175298
0.4,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,0,2,8,1,2,-1.897593194,FALSE,266,1805.098255
0.4,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,0,2,2,2,2,-0.260090832,TRUE,2802,2.520926673
0.4,15,8,2,1,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,0,8,8,2,6,-0.772920182,FALSE,5392,1800.027682
0.2,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,0,8,2,2,1,-0.067962854,TRUE,884,36.22311494
0.2,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,8,1,4,1,3,-2.685073698,TRUE,48093,125.9007668
0.2,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,0,4,1,1,1,-3.059184097,FALSE,3707,1800.04083
0.4,9,8,6,1,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,0,8,8,6,6,-0.235928146,FALSE,3947,1800.035558
0.4,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,0,1,1,1,1,-1.340466049,TRUE,10147,1290.181612
0.4,15,8,2,1,1,0.2,0.8,0.95,0.6,0.6,0.95,8,-8,0,8,8,2,6,-0.773084321,FALSE,5540,1800.15564
0.2,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,8,2,2,2,2,-0.886766781,TRUE,12681,11.6256871
0.4,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,0,2,2,1,2,-0.031106682,TRUE,28,0.0245746
0.2,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,8,2,8,2,2,-1.048683238,TRUE,9443,55.09558345
0.4,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,0,2,8,1,2,-1.921232252,FALSE,263,1803.084104
0.4,9,8,2,1,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,8,8,8,2,6,-0.839590916,FALSE,16601,1800.079726
0.4,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,0,1,1,1,1,-0.480971339,TRUE,6518,1.702184979
0.2,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,0,1,1,1,1,-1.708995651,TRUE,27256,16.38466651
0.4,9,4,6,1,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,8,4,4,3,1,-0.735429862,TRUE,14710,124.1603708
0.4,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,8,8,2,6,1,-0.343955724,TRUE,5355,156.7080066
0.2,15,8,2,1,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,8,8,8,2,6,-1.592370439,FALSE,5783,1800.166226
0.2,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,0,1,4,1,3,-4.107786543,FALSE,3872,1800.091987
0.4,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,0,2,2,1,2,-0.013532249,TRUE,30,0.040176256
0.2,9,4,6,1,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,0,4,4,3,1,-1.611685435,TRUE,32236,260.65787
0.4,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,0,2,8,2,2,-0.537570704,TRUE,3123,18.19387528
