ncity,nnodes,nseqcombos,rewardtime,rewardcomplete,lptime,lputility,lpstatus,cfrtime,cfrutility,cfrconverged,brutility,exploitability
7,1.17E+06,3376170756,0.07312491666472222,true,15.970062432,-0.6838264864144253,true,11.81016098,-0.6804449501258304,true,-0.7023504236818524,0.027088651339838347
8,1.85E+06,5397979356,0.2062107330011111,true,24.829427995,-1.2153536999237482,true,49.558310743,-1.2180023369061894,true,-1.2258623465623313,0.008646574770161479
9,2.76E+06,8093724156,0.5376943963533333,true,35.714703652,-1.931775655925359,true,258.4524879,-1.929830447450663,true,-1.935013725692062,0.001676214190178339
10,3.93E+06,11559681756,1.2063373547844445,true,47.36840973,-0.5001081943237621,true,27.979741511,-0.4901490173272389,true,-0.5137957284114113,0.027369145802854274
11,5.39E+06,15892128756,2.3528870693191664,true,63.977846011,-1.586390178893514,true,366.969645315,-1.5757465206766514,true,-1.5926167896683934,0.003925018483928325
12,7.17E+06,21187341756,4.053965401509444,true,94.974141226,-1.6169540596117742,true,571.919787961,-1.608895875364128,true,-1.6207164417211608,0.0023268330272104057
13,9.31E+06,27541597356,8.380060024229444,true,107.63013693,-1.6551616748341718,true,600.60377154,-1.6372142176616222,false,-1.661267681162161,0.003689069424955686
14,1.18E+07,35051172156,12.00064170224611,false,209.717871029,-2.3098183443945066,true,600.596132063,-2.41403940615298,false,-2.3119226644370365,0.0009110326998816615
15,1.48E+07,43812342756,12.01653483184139,false,145.708748243,-1.1458779823660534,true,600.619159288,-1.5501688366102087,false,-1.1575985725671318,0.010228480153600016
