size,pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
12,0.75,0.55,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828757265053983,false,4096,3600.220649595
9,0.95,0.55,0.95,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,82.663558131
9,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368806441215,true,18230,81.829750957
15,0.55,0.95,0.55,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3679.690925692
9,0.55,0.95,0.55,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,81.542957516
15,0.55,0.95,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1982237890563687,false,27,3656.705109725
15,0.55,0.95,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1982237890563687,false,27,3662.9393419
15,0.95,0.95,0.55,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042377,false,27,3666.860027663
15,0.95,0.95,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3676.247744961
9,0.55,0.95,0.55,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,81.60233019
15,0.55,0.95,0.95,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3675.691095659
9,0.55,0.55,0.55,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,88.236511127
15,0.95,0.95,0.95,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042377,false,27,3648.402219096
15,0.95,0.95,0.55,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3660.088604945
15,0.95,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3711.681485545
15,0.55,0.95,0.55,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.363078154826346,false,27,3687.640724257
15,0.95,0.55,0.95,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3667.636048111
15,0.55,0.95,0.55,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1982237890563705,false,27,3706.068302099
12,0.55,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.8002048258205032,false,4141,3600.123332404
12,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828909776155712,false,4149,3600.415964663
15,0.95,0.55,0.55,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3721.561865318
9,0.55,0.95,0.95,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,98.837046401
15,0.55,0.95,0.55,0.5,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.363078154826346,false,27,3717.597868351
9,0.95,0.95,0.55,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,86.401247328
9,0.55,0.55,0.55,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,87.849201504
9,0.95,0.95,0.55,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,95.042336972
15,0.55,0.55,0.55,4.0,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.19822378905637,false,27,3661.761900872
