size,status_r,status_dbr,status_ccfr,t_r,t_dbr,t_ccfr,u_r,u_dbr,u_ccfr,exp_neg_r,exp_neg_dbr,exp_neg_ccfr,exp_pos_r,exp_pos_dbr,exp_pos_ccfr
7,Optimal,true,true,8.57840579,8.987463481,54.054845215,-0.08038767245748693,-0.08306896964367774,-0.08285457203443763,0.019254844984794402,0.15473995594844045,0.21351022425186272,0.17382457637175014,0.14626784073114615,0.14847128847660124
8,Optimal,true,true,14.553039622,9.936302943,130.115896286,-0.23461395365497467,-0.244770402641378,-0.2403817723451635,0.034256598059656376,0.22138473784833063,0.14709151008983104,0.3547762538044843,0.3268444877651635,0.33891388277035106
9,Optimal,true,true,21.200892616,106.666974304,751.157180253,-0.5783159877407564,-0.5802520378108609,-0.5851080891346345,0.007514761885280122,0.07458408702387662,0.034043221933438304,0.009562484329556331,0.006246759600695101,-0.002069827716691258
10,Optimal,true,true,38.039342892,24.2344324,164.903523494,-0.2483572630253734,-0.2554114349794139,-0.25101483292030907,0.01277801044974427,0.09052693256154744,0.11318068013752705,0.007179928874194867,-0.021019461857650242,-0.003443834248215928
11,Optimal,true,true,39.657482827,61.063469203,780.576871159,-0.3899603508414223,-0.39639455399479473,-0.39658142368287436,0.009537849691605748,0.09003565759185209,0.05692087210965757,0.02976118859060926,0.013752603085891504,0.013287662935797757
12,Optimal,true,false,51.293929544,453.772147465,1200.161504973,-0.6054817863946366,-0.6101379648464824,-0.6202950232758127,0.002685399887733205,0.03922214523935976,0.06962133479233132,0.01363562449835466,0.0060504441443319885,-0.010495983543007584
13,Optimal,true,false,78.215933482,736.152670784,1200.456833256,-0.599847211548271,-0.6064280757643613,-0.6131601758052988,0.006407973962302086,0.03253691080119501,0.10219018035633524,0.01853870964739738,0.007771195252376352,-0.0032437690014495047
14,Optimal,true,false,105.898376033,998.962175317,1201.241670376,-0.7336131452492177,-0.7341807592353354,-0.7456516139705569,0.0008082342844215191,0.000721847488887228,0.011798877894494903,0.0088148872967852,0.00804798373672034,-0.007450294227846736
15,Optimal,true,false,89.30152018,66.143537305,1200.476884871,-0.2352082358224847,-0.2508064710498324,-0.24828855909839065,0.042334615035634814,0.14764772869374157,0.13941114518706987,0.0699009518780663,0.008219847529800896,0.01817658863243082
