ncity,size,time,complete
7,1.17E+06,0.07312491666472222,true
8,1.85E+06,0.2062107330011111,true
9,2.76E+06,0.5376943963533333,true
10,3.93E+06,1.2063373547844445,true
11,5.39E+06,2.3528870693191664,true
12,7.17E+06,4.053965401509444,true
13,9.31E+06,8.380060024229444,true
14,1.18E+07,12.00064170224611,false
15,1.48E+07,12.01653483184139,false
