pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.7161918798,0.8302008709,0.8820373559,7.0609569443,-5.623208764,6.0941107147,0.3,0.2,13,6,4,6,6,3,3,-1.8753567286023403,false,5424,14401.607994935
0.8918651839,0.7744162036,0.8662655025,5.2792055611,-4.898633128,5.6381664278,0.3,0.2,13,6,4,6,6,3,3,-1.6356701374227236,false,5396,14403.487892726
0.8205264526,0.8815410023,0.8863326876,7.9886545792,-3.649518037,2.8549000002,0.3,0.2,13,6,4,6,6,3,3,-1.7107090760997223,false,5452,14403.690194916
0.6275117817,0.77685882,0.9041235166,2.0768061994,2.4962442701,4.8895010716,0.3,0.2,13,6,4,6,6,3,3,-2.001686896178699,false,5330,14401.597414285
0.7125235884,0.8408410211,0.8151057867,2.7067787645,-1.802500618,5.2314688247,0.3,0.2,13,6,4,6,6,3,3,-1.9654217320793368,false,5402,14403.419642355
0.7065591117,0.7886142278,0.929972639,3.1203336323,7.9066188445,6.0312254422,0.3,0.2,13,6,4,6,6,3,3,-1.839962903451214,false,5379,14403.808914399
0.8008260267,0.7278269229,0.9444834157,3.6620218437,1.0374666551,5.4854469519,0.3,0.2,13,6,4,6,6,3,3,-1.6757412044304332,false,5385,14401.727290418
0.8480451122,0.8678913199,0.9344101851,3.4339755907,2.8045253265,4.6865395313,0.3,0.2,13,6,4,6,6,3,3,-1.6034143563579017,false,5399,14403.100509203
0.7925698295,0.920553273,0.8827987524,1.2768270372,1.957785804,7.9390753839,0.3,0.2,13,6,4,6,6,3,3,-1.760013179785669,false,5372,14401.697989997
0.6646234044,0.9330273943,0.8585934906,1.6601384181,-6.87023415,3.7629014905,0.3,0.2,13,6,4,6,6,3,3,-1.9756621974343735,false,5580,14401.669492607
0.6104886556,0.9404123185,0.8069204406,2.0903061164,-3.318868961,4.3731766419,0.3,0.2,13,6,4,6,6,3,3,-2.1071118786107066,false,5559,14403.518177231
0.7205400824,0.893431616,0.9113285671,1.5166071085,-7.341178182,6.3881984527,0.3,0.2,13,6,4,6,6,3,3,-1.8302570640789788,false,5475,14403.365504171
0.6194372044,0.8896928844,0.8591586703,7.7910529725,0.6949185837,7.5431270261,0.3,0.2,13,6,4,6,6,3,3,-2.0448848990759183,false,5415,14402.022446728
0.6753516587,0.9427192779,0.9231689754,4.0288161538,5.2180980763,6.5587235801,0.3,0.2,13,6,4,6,6,3,3,-1.887802392166904,false,5401,14401.310466067
0.6148290486,0.8484839278,0.7859644482,7.5449939942,4.2953384262,6.0139595602,0.3,0.2,13,6,4,6,6,3,3,-2.1397426219148654,false,5404,14402.115396916
0.636809882,0.9300718975,0.9057966265,5.1772724954,7.2251434717,0.4430283528,0.3,0.2,13,6,4,6,6,3,3,-1.966746554515089,false,5406,14400.021497541
0.7266184099,0.8352665263,0.7950023949,7.1445116013,2.3109783077,3.5727160329,0.3,0.2,13,6,4,6,6,3,3,-1.973671509012945,false,5351,14402.25521694
0.6872543628,0.6908331354,0.7891168328,5.205222989,7.1329789622,7.6732879494,0.3,0.2,13,6,4,6,6,3,3,-2.060638301015866,false,5390,14401.066194755
0.6347958437,0.7849564578,0.9441910771,5.3833257906,4.2363503083,6.8042395792,0.3,0.2,13,6,4,6,6,3,3,-1.9457360261248386,false,5418,14400.216582703
0.7493694897,0.7486859146,0.8881392163,7.938594923,5.4258745715,4.3733560619,0.3,0.2,13,6,4,6,6,3,3,-1.8317730331764277,false,5447,14401.006207901
0.6893061724,0.9243885196,0.9204019275,6.8341311089,-4.537175906,2.7049166853,0.3,0.2,13,6,4,6,6,3,3,-1.8675478089327417,false,5561,14402.094446637
0.6065396963,0.8887816701,0.948131091,5.2580312729,-1.953228867,3.2637626914,0.3,0.2,13,6,4,6,6,3,3,-1.969986017791361,false,5462,14402.297782998
0.7008711669,0.6718315424,0.877066407,6.2667590373,-6.535302979,2.8775362472,0.3,0.2,13,6,4,6,6,3,3,-1.9426532277999449,false,5464,14401.045631212
