size,status_r,status_dbr,status_ccfr,t_r,t_dbr,t_ccfr,u_r,u_dbr,u_ccfr,exp_neg_r,exp_neg_dbr,exp_neg_ccfr,exp_pos_r,exp_pos_dbr,exp_pos_ccfr
7,Optimal,false,false,7.937808425,160.633642258,710.433654081,-0.0804045055773577,-0.0808017079223541,-0.08173391175001841,0.019254844984794402,0.15864544789011842,0.07863366678292356,0.1740148697221289,0.16993446118876793,0.1603580513282778
8,Optimal,false,false,14.655006807,158.190965545,1098.398833384,-0.23480096795480895,-0.23605497370771653,-0.23637084302359557,0.034256598059656376,0.238703088375996,0.07018637852631099,0.35451842322596383,0.35107108815864724,0.3502027449578331
9,Optimal,false,false,19.628485354,247.506876282,1598.677628046,-0.5785252191923536,-0.5802276746442441,-0.5835128516301842,0.007514761885280122,0.07213738138502072,0.02437751405188619,0.009986534956685245,0.007073172211045601,0.0014513439082594766
10,Optimal,false,false,38.718626681,354.740182957,1800.140794839,-0.2481961865167099,-0.24884512157278588,-0.24909357749744637,0.01277801044974427,0.06618257078044612,0.05769968118015022,0.007278879902771577,0.004683306035262862,0.0036895460291752817
11,Optimal,false,false,39.365045628,530.347954892,1800.186419128,-0.3902699786257514,-0.3921579465464273,-0.3953390228900401,0.009537849691605748,0.08558747446856999,0.052252777981787714,0.029205511021553054,0.024509200894870565,0.01659629046739347
12,Optimal,false,false,61.698424806,720.140501707,1800.903022214,-0.6052804002012556,-0.6089087900743142,-0.6200283425845301,0.002685399887733205,0.03700014632364477,0.06253038479678137,0.013929455393612627,0.008018396028429912,-0.010096618427485344
13,Optimal,false,false,80.032244092,946.626404282,1800.100658766,-0.5997949068397951,-0.6066726552242153,-0.612172807311706,0.006407973962302086,0.031782942407567544,0.1006959495484117,0.018157530828419047,0.00689890662355613,-0.002104642497682856
14,Optimal,false,false,137.407976717,1293.576442955,1802.312903878,-0.7338996549199379,-0.7343764814527751,-0.7432686406579307,0.0008082342844215191,0.0006216951788568776,0.009914317209549389,0.008897474202836717,0.008253538784835176,-0.003754971355398727
15,Optimal,false,false,108.391025978,1720.113976149,1800.271636743,-0.23552496436117562,-0.23975405957302406,-0.2449199901897314,0.042334615035634814,0.13242788983055848,0.144334913416907,0.06924284261010397,0.052530131716005055,0.03211519647072644
