alpha,beta,gamma,lambda_max,lambda_scale,utility,ulb,uub,exploitability,exploitation,status,iter,time
8,1,8,2000,1,-0.4064521500524404,-0.41269295206613293,-0.406038436300614,0.053450430471763476,0.016163510127512305,false,7579,1201.063042642
8,1,0,10,8,-0.4116803900052261,-0.4128365236329317,-0.41130111600607344,0.027447608226063784,0.004035986079958955,false,7598,1201.541586131
8,-8,8,10,1,-0.41001903194874484,-0.4121027992428095,-0.40961536864873505,0.020699687112789248,0.006244944382367072,false,7907,1200.868729072
1,-8,4,10,4,-0.4125603198280702,-0.412292600682378,-0.41218465358827194,0.02668338066118205,0.0006108589567911315,false,7768,1200.987438438
4,-8,8,10,4,-0.4103820877907737,-0.412227018719327,-0.41001360106340723,0.020365694799471163,0.005687881834432445,false,7768,1200.759349428
4,-8,8,1000,1,-0.4077057996825076,-0.4124964380983151,-0.4073013188826413,0.03204521407425438,0.012743872316284129,false,7557,1200.729952491
8,-8,0,2000,4,-0.41138051437802475,-0.41260058310597675,-0.4109999104725198,0.05738866007001727,0.0040361603182352546,false,7685,1200.814976328
4,-8,4,1000,1,-0.4076501165866029,-0.4123765470459837,-0.4072465776426563,0.03126064315364338,0.012636232610833981,false,7568,1200.686554609
4,8,0,2000,4,-0.40956839034275766,-0.41248073650072475,-0.40912236323628115,0.13389355063317848,0.008109104587268167,false,7807,1200.311062155
1,1,4,2000,4,-0.4064580167379518,-0.412747237094272,-0.40608137200931677,0.035613702001688154,0.016230912584178,false,8144,1200.194875612
1,1,0,2000,1,-0.4091976796333385,-0.4124293351442368,-0.4087742849916509,0.13115141764141452,0.008986529724279935,false,7506,1200.200301425
1,8,4,10,1,-0.4090793691963444,-0.4125572700619629,-0.4086958609635682,0.03106744186050286,0.00951695404698103,false,8064,1200.212245111
4,1,0,10,8,-0.41164862108985684,-0.4128371680282294,-0.4112769211861196,0.023713269425236022,0.004045612515987435,false,7904,1200.249516784
1,-8,8,2000,1,-0.40865137859273437,-0.4121144689409126,-0.40825358159606834,0.03646457103432737,0.009587049724851415,false,8069,1200.199997208
8,1,8,1000,8,-0.4062035622246393,-0.4122315412577883,-0.4056921231222405,0.03283096966422604,0.016001432334643274,false,7533,1200.227561455
4,1,4,2000,8,-0.4450752894591112,-0.412180296361509,-0.44463340216517927,0.02105832975290376,-0.07855740201357354,false,7386,1200.290075721
1,-8,8,2000,8,-0.4400723048933201,-0.4124589551314377,-0.43965040855404647,0.019488502342350805,-0.06577970678506216,false,7408,1200.313180177
8,-8,4,1000,4,-0.40768114169180547,-0.4124358839367692,-0.4072454248174879,0.0356492498036969,0.012658706016763575,false,7776,1200.285203328
8,-8,4,2000,4,-0.4079769179245106,-0.4121994061142788,-0.40752770333115207,0.03697897520342586,0.011384556384572947,false,7791,1200.327390503
1,1,0,10,4,-0.41130797607350766,-0.41269064275630835,-0.410952822006589,0.02456427934611932,0.0044753206449092125,false,8172,1200.223975312
1,8,8,10,8,-0.4081192970334187,-0.4124783894519987,-0.40769155522448297,0.020429865331032443,0.01174780413077605,false,8132,1200.279354239
8,1,4,2000,4,-0.40670960045748644,-0.4126988645066908,-0.4063041311826402,0.04044913026005779,0.0156440020313575,false,7996,1200.165768933
8,1,8,1000,1,-0.4060880809930038,-0.41244290556818763,-0.40569760473392097,0.0381164061699422,0.016543762780854527,false,7770,1200.279554177
